"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"Elgi Rubber Company Limited","50050000","32489587","    64.91","17560413","0","     0.00","     0.00","20-Nov-2020 11:30:28","145558","48996253","0.3"
"Emami Limited","444513740","239393412","    53.86","205120328","111329353","    46.50","    25.05","20-Nov-2020 11:30:20","107797022","443355615","24.31"
"Emami Paper Mills Limited","60499050","45358286","    74.97","15140764","0","     0.00","     0.00","20-Nov-2020 11:30:31","246582","60242471","0.41"
"Emco Limited","67909215","30720998","    45.24","37188217","0","     0.00","     0.00","20-Nov-2020 11:30:19","1117655","67757794","1.65"
"Emkay Global Financial Services Limited","24619030","18353984","    74.55","6265046","0","     0.00","     0.00","20-Nov-2020 11:30:20","1158869","24615016","4.71"
"Emmbi Industries Limited","17690250","10289935","    58.17","7400315","0","     0.00","     0.00","20-Nov-2020 11:30:26","209476","17690240","1.18"
"Energy Development Company Limited","47500000","27616041","    58.14","19883959","0","     0.00","     0.00","20-Nov-2020 11:30:24","1051302","47472394","2.21"
"Engineers India Limited","631911420","325404724","    51.50","306506696","0","     0.00","     0.00","20-Nov-2020 11:30:13","15222494","631353830","2.41"
"Entertainment Network (India) Limited","47670415","33918400","    71.15","13752015","0","     0.00","     0.00","20-Nov-2020 11:30:19","145117","47670171","0.3"
"Eon Electric Limited","16902466","10437123","    61.75","6465343","4098030","    39.26","    24.25","20-Nov-2020 11:30:29","1869928","16308312","11.47"
"Eros International Media Limited","95727437","59584302","    62.24","36143135","36721169","    61.63","    38.36","20-Nov-2020 11:30:27","19934666","95727314","20.82"
"Esab India Limited","15393020","11347960","    73.72","4045060","0","     0.00","     0.00","20-Nov-2020 11:30:10","80053","15222120","0.53"
"Escorts Limited","134834566","52336056","    38.82","82498510","0","     0.00","     0.00","20-Nov-2020 11:30:04","7712362","133692968","5.77"
"Ess Dee Aluminium Limited","32047811","18578663","    57.97","13469148","1307596","     7.04","     4.08","20-Nov-2020 11:30:21","1644210","32047551","5.13"
"Essar Shipping Limited","206976072","153920826","    74.37","53055246","21041698","    13.67","    10.17","20-Nov-2020 11:30:29","4372020","204752412","2.14"
"Ester Industries Limited","83393759","51248203","    61.45","32145556","5000000","     9.76","     6.00","20-Nov-2020 11:30:28","7013267","82425102","8.51"
"Euro Ceramics Limited","33737717","3404095","    10.09","30333622","3403895","    99.99","    10.09","20-Nov-2020 11:30:22","4926971","31260115","15.76"
"Euro Multivision Limited","23800049","11187563","    47.01","12612486","0","     0.00","     0.00","20-Nov-2020 11:30:26","41415","23799859","0.17"
"Eurotex Industries and Exports Limited","8749865","6211627","    70.99","2538238","0","     0.00","     0.00","20-Nov-2020 11:30:03","420762","8375468","5.02"
"Eveready Industries India Limited","72687260","5276506","     7.26","67410754","1811968","    34.34","     2.49","20-Nov-2020 11:30:18","8880617","71929938","12.35"
"Everest Industries Limited","15636340","7933409","    50.74","7702931","0","     0.00","     0.00","20-Nov-2020 11:30:10","533683","15456601","3.45"
"Everest Kanto Cylinder Limited","112207682","75613143","    67.39","36594539","33651600","    44.50","    29.99","20-Nov-2020 11:30:19","35117020","112206052","31.3"
"Excel Industries Limited","12570692","6685158","    53.18","5885534","0","     0.00","     0.00","20-Nov-2020 11:30:17","360974","12391654","2.91"
"Excel Realty N Infra Limited","94046337","46687206","    49.64","47359131","0","     0.00","     0.00","20-Nov-2020 11:30:25","2803006","93815901","2.99"
"Exide Industries Limited","850000000","390954666","    45.99","459045334","0","     0.00","     0.00","20-Nov-2020 11:30:03","5368954","841664353","0.64"
"Expleo Solutions Limited","10252485","5758804","    56.17","4493681","0","     0.00","     0.00","20-Nov-2020 11:30:26","208004","10252481","2.03"
"FCS Software Solutions Limited","1709553100","335962450","    19.65","1373590650","0","     0.00","     0.00","20-Nov-2020 11:30:19","76505086","1709027078","4.48"
"FDC Limited","170973084","118379910","    69.24","52593174","0","     0.00","     0.00","20-Nov-2020 11:30:13","1458900","166939220","0.87"
"Fedders Electric and Engineering Limited","33969700","17651682","    51.96","16318018",,,,"20-Nov-2020 11:30:12","401071","33482428","1.2"
"Federal-Mogul Goetze (India) Limited.","55632130","53860845","    96.82","1771285","0","     0.00","     0.00","20-Nov-2020 11:30:10","62356","55234961","0.11"
"Fertilizers and Chemicals Travancore Limited","647071974","582364776","    90.00","64707198","0","     0.00","     0.00","20-Nov-2020 11:30:03","418695","644079791","0.07"
"Fiem Industries Limited","13159830","8759157","    66.56","4400673","0","     0.00","     0.00","20-Nov-2020 11:30:21","257040","13055383","1.97"
"Filatex India Limited","220818000","133529211","    60.47","87288789","48741500","    36.50","    22.07","20-Nov-2020 11:30:28","53405152","220392900","24.23"
"Finolex Cables Limited","152939345","55092670","    36.02","97846675","0","     0.00","     0.00","20-Nov-2020 11:30:11","2907881","151532739","1.92"
"Finolex Industries Limited","124095381","65546297","    52.82","58549084","14400","     0.02","     0.01","20-Nov-2020 11:30:11","4956599","117818626","4.21"
"Firstsource Solutions Limited","694819531","389209673","    56.02","305609858","0","     0.00","     0.00","20-Nov-2020 11:30:22","24472658","695353195","3.52"
"Flexituff Ventures International Limited","24882806","8181603","    32.88","16701203","8181603","   100.00","    32.88","20-Nov-2020 11:30:29","13111295","23756991","55.19"
"Fortis Healthcare Limited","754958148","235294117","    31.17","519664031","0","     0.00","     0.00","20-Nov-2020 11:30:23","54143761","754141305","7.18"
"Foseco India Limited","6386459","4788845","    74.98","1597614","0","     0.00","     0.00","20-Nov-2020 11:30:10","46227","6338596","0.73"
"Future Consumer Limited","1921109680","750529152","    39.07","1170580528","672085610","    89.55","    34.98","20-Nov-2020 11:30:29","742060859","1920959360","38.63"
"Future Enterprises Limited","454930401","196942591","    43.29","257987810","168224739","    85.42","    36.98","20-Nov-2020 11:30:16","175376735","454468878","38.59"
"Future Enterprises Limited","39374679","28436580","    72.22","10938099","0","     0.00","     0.00","20-Nov-2020 11:30:25","454661","39318642","1.16"
"Future Lifestyle Fashions Limited","201774874","41515094","    20.57","160259780","40950638","    98.64","    20.30","20-Nov-2020 11:30:29","42893212","201452495","21.29"
"Future Market Networks Limited","57544381","41183410","    71.57","16360971","40350000","    97.98","    70.12","20-Nov-2020 11:30:28","42300120","57503575","73.56"
"Future Retail Limited","542284079","183611016","    33.86","358673063","126820361","    69.07","    23.39","20-Nov-2020 11:30:31","141209991","541315189","26.09"
"Future Supply Chain Solutions Limited","43883598","10265917","    23.39","33617681","9765817","    95.13","    22.25","20-Nov-2020 11:30:31","10604937","43883592","24.17"
"GAIL (India) Limited","4510141866","2364634013","    52.43","2145507853","0","     0.00","     0.00","20-Nov-2020 11:30:13","24605028","4509895185","0.55"
"GATI Limited","121945977","63294116","    51.90","58651861","3169350","     5.01","     2.60","20-Nov-2020 11:30:15","11397974","121060926","9.42"
"GB Global Limited","3314295","1060965","    32.01","2253330","450","     0.04","     0.01","20-Nov-2020 11:30:31","37451","3314059","1.13"
"GE Power India Limited","67227471","46102083","    68.58","21125388","0","     0.00","     0.00","20-Nov-2020 11:30:14","680282","66627225","1.02"
"GE T&D India Limited","256046535","192034901","    75.00","64011634","0","     0.00","     0.00","20-Nov-2020 11:30:06","646775","254037804","0.25"
"GFL Limited","109850000","75492611","    68.72","34357389","0","     0.00","     0.00","20-Nov-2020 11:30:03","1093046","109050500","1"
"GHCL Limited","95013286","18302810","    19.26","76710476","200244","     1.09","     0.21","20-Nov-2020 11:30:10","3604690","92644072","3.89"
"GI Engineering Solutions Limited","8611878","3395177","    39.42","5216701","0","     0.00","     0.00","20-Nov-2020 11:30:25","22973","8585248","0.27"
"GIC Housing Finance Limited","53851066","22836839","    42.41","31014227","0","     0.00","     0.00","20-Nov-2020 11:30:09","3008347","53531751","5.62"
"GKW Limited","5966500","4474875","    75.00","1491625","0","     0.00","     0.00","20-Nov-2020 11:30:25","54782","5854050","0.94"
"GM Breweries Limited","18277538","13604123","    74.43","4673415","0","     0.00","     0.00","20-Nov-2020 11:30:09","540049","17819756","3.03"
"GMR Infrastructure Limited","6035945275","3954469176","    65.52","2081476099","2910702760","    73.61","    48.22","20-Nov-2020 11:30:20","2596671497","6035226769","43.03"
"GNA Axles Limited","21465400","14491546","    67.51","6973854","2470000","    17.04","    11.51","20-Nov-2020 11:30:31","2757219","21465398","12.84"
"GOCL Corporation Limited","49572490","36600791","    73.83","12971699","0","     0.00","     0.00","20-Nov-2020 11:30:30","602063","49193470","1.22"
"GP Petroleums Limited","50984383","37312516","    73.18","13671867","0","     0.00","     0.00","20-Nov-2020 11:30:17","698475","50982436","1.37"
"GPT Infraprojects Limited","29086000","21814060","    75.00","7271940","14833860","    68.00","    51.00","20-Nov-2020 11:30:30","14913921","29085994","51.28"
"GSS Infotech Limited","16936843","3390329","    20.02","13546514","0","     0.00","     0.00","20-Nov-2020 11:30:25","4116819","16586842","24.82"
"GTL Infrastructure Limited","12406962487","420144016","     3.39","11986818471","420144016","   100.00","     3.39","20-Nov-2020 11:30:21","256375446","12311746521","2.08"
"GTL Limited","157296781","50980559","    32.41","106316222","50500000","    99.06","    32.10","20-Nov-2020 11:30:10","30187471","157089216","19.22"
"GTN Industries Limited","17540378","13038828","    74.34","4501550","6677100","    51.21","    38.07","20-Nov-2020 11:30:09","6785198","17289904","39.24"
"GTN Textiles Limited","11640478","7375739","    63.36","4264739","0","     0.00","     0.00","20-Nov-2020 11:30:20","134092","11371180","1.18"
"GTPL Hathway Limited","112463038","84347278","    75.00","28115760","0","     0.00","     0.00","20-Nov-2020 11:30:31","1344512","112463038","1.2"
"GVK Power & Infrastructure Limited","1579210400","856729340","    54.25","722481060","0","     0.00","     0.00","20-Nov-2020 11:30:19","33825750","1577053151","2.14"
"Gabriel India Limited","143643940","75765026","    52.75","67878914","0","     0.00","     0.00","20-Nov-2020 11:30:10","1876954","133795218","1.4"
"Gallantt Ispat Limited","282360720","178155380","    63.09","104205340","0","     0.00","     0.00","20-Nov-2020 11:30:27","303660","282360660","0.11"
"Gallantt Metal Limited","81322324","54674689","    67.23","26647635","510500","     0.93","     0.63","20-Nov-2020 11:30:20","706348","81322293","0.87"
"Gammon India Limited","369573105","42657154","    11.54","326915951","36153699","    84.75","     9.78","20-Nov-2020 11:30:13","38653318","361208505","10.7"
"Gammon Infrastructure Projects Limited","941830724","193999800","    20.60","747830924","193999800","   100.00","    20.60","20-Nov-2020 11:30:25","215873298","941828121","22.92"
